ident,type,name,latitude_deg,longitude_deg,municipality,iso_region,icao_code,gps_code
YKTA,small_airport,Kotta Airport,-36.1797981262207,144.52499389648438,,AU-VIC,,YKTA
YKTH,small_airport,Keith Airport,-36.115135,140.252237,Keith,AU-SA,,YKTH
YKTN,small_airport,Kyneton Airport,-37.2262620936,144.44729805,Kyneton,AU-VIC,,YKTN
YKUB,small_airport,Kubin Island Airport,-10.22648,142.219619,Kubin Island,AU-QLD,YKUB,YKUB
YKUR,small_airport,Kurundi Airport,-20.51,134.6706,Kurundi Station,AU-NT,,YKUR
YKUW,small_airport,Kurweeton Airport,-38.04999923706055,143.14999389648438,,AU-VIC,,YKUW
YKUY,small_airport,Kurray Airport,-28.221763,148.578124,,AU-QLD,,YKUY
YKWA,small_airport,Karlawinda Mine Airport,-23.781111,120.135002,,AU-WA,,YKWA
YKWG,small_airport,Kangaroo Well Airport,-31.78499984741211,135.63800048828125,,AU-SA,,YKWG
YKWR,small_airport,Koo Wee Rup (Aardel Port) Airfield,-38.16887,145.486722,Koo Wee Rup,AU-VIC,,YKWR
YKYB,small_airport,Kyabram Airport,-36.332482365299995,144.972066879,Private Airfield in the Shire of Campaspe,AU-VIC,,YKYB
YKYN,small_airport,Kynuna Airport,-21.598769,141.942871,Kynuna,AU-QLD,,YKYN
YLAE,small_airport,La Belle Downs Airstrip,-13.113074,130.499125,,AU-NT,,YLAE
YLAG,small_airport,Lagoon Bay Airport,-42.886934,147.954863,Dunalley,AU-TAS,,YLAG
YLAH,small_airport,Lawn Hill Airport,-18.57453,138.586106,,AU-QLD,YLAH,YLAH
YLAK,small_airport,Lakeside Airpark,-20.680866,148.630348,Lakeside,AU-QLD,,YLAK
YLAM,small_airport,Lambina Airport,-26.913299560546875,134.05799865722656,,AU-SA,,YLAM
YLAN,small_airport,Langawirra Airport,-31.442361,142.137766,,AU-NSW,,YLAN
YLAO,small_airport,Lameroo Airport,-35.36669921875,140.5500030517578,,AU-SA,,YLAO
YLAW,small_airport,Lawlers Airport,-28.091764,120.538516,,AU-WA,,YLAW
YLBA,small_airport,Labona Airport,-22.003936,146.363854,Carmichael Coal Mine,AU-QLD,,YLBA
YLBD,small_airport,Lombadina Airport,-16.515333,122.923509,Dampier Peninsula,AU-WA,,YLBD
YLBG,small_airport,Mount Liebig Airport,-23.24329948425293,131.25999450683594,,AU-NT,,YLBG
YLBO,small_airport,Lake Bolac Airport,-37.68330001831055,142.88299560546875,,AU-VIC,,YLBO
YLCG,small_airport,Lake Cargelligo Airport,-33.282822,146.375447,,AU-NSW,,YLCG
YLCS,small_airport,Locksley Field,-36.814999,145.348007,Locksley,AU-VIC,,YLCS
YLDB,small_airport,Lady Barron Aerodrome,-40.195811,148.244642,Lady Barron,AU-TAS,,YLDB
YLDO,small_airport,Landor Station Airport,-25.100000381469727,116.9000015258789,,AU-WA,,YLDO
YLEA,small_airport,Leeman Airport,-29.969974,114.983066,Leeman,AU-WA,,YLEA
YLEC,medium_airport,Leigh Creek Airport,-30.598301,138.425995,,AU-SA,YLEC,YLEC
YLED,small_airport,Lethbridge Airpark,-37.921233,144.103058,,AU-VIC,,YLED
YLEE,small_airport,Leeton Airport,-34.499788,146.446646,,AU-NSW,,YLEE
YLEG,small_airport,Leongatha Airport,-38.496472,145.860565,Leongatha South,AU-VIC,,YLEG
YLEO,medium_airport,Leonora Airport,-28.87809944152832,121.31500244140625,Leonora,AU-WA,YLEO,YLEO
YLET,small_airport,Lakes Entrance Airport,-37.852773,147.951164,,AU-VIC,,YLET
YLEV,small_airport,Lake Evella Airport,-12.498900413513184,135.80599975585938,,AU-NT,YLEV,YLEV
YLFD,small_airport,Lakefield Airport,-14.9207,144.203,Lakefield,AU-QLD,YLFD,YLFD
YLGA,small_airport,Mulga Downs Airport,-22.107200622558594,118.47100067138672,,AU-WA,,YLGA
YLGB,small_airport,La Grange Bay Airport,-18.68684,121.81133,Lagrange,AU-WA,,YLGB
YLGC,small_airport,Lake Grace Airport,-33.106911,118.389375,Lake Grace,AU-WA,,YLGC
